Song,Artist,Album,Lyrics
"""I'm Not Her""",Janine Berdin,"""WTF I actually wrote these songs""","

Maybe I will never be
The one you'll dream of that's clear to me, clear to me
It's probably nothing when you hold my hand
But to me, babe, oh, I'll be damned
Baby, I'll be damned

And you don't know
You don't see how much I wish it was different
How much I wish I could be her
You don't know
You'll never see me
The way you feel about her
Will never be the way you feel about me

I always thought it'd end okay
I waited for it all to just go away
But it never went away
Now what am I supposed to do?
I am not her
Do you even know just how much this all hurts
How I'm not her

You don't know
You don't see how much I wish it was different
How much I wish I could be her
You don't know
You'll never see me
The way you feel about her
Will never be the way you feel about me

This isn't right for me
Doing myself injustice
Cos I've never wanted to be like somebody else
It's so hard to accept that I will never have you
I never had you
If you want to keep me start to see me
Or it's over
Be like her, I will never

You don't know
You don't see how much I wish it was different
How much I wish I could be her, babe
You don't know
You'll never see me
The way you feel about her
Will never be the way you feel about me

This isn't right for me
I won't do myself injustice
Be like her, I will never
I'm not her
"
"""Pagod Na Ako""",Janine Berdin,"""WTF I actually wrote these songs""","

Woah oh oh oh
Woah oh oh oh

Ilang hakbang pa ba
Ang kailangan kong lakbayin?
Ilang dagat pa ba
Ang kailangan kong lalanguyin?
Kasi pagod na ako
Oh pagod na tayo

'Wag mag-alala kung mawawala
'Wag mag-tataka kung lilisan na
Pagod, na pagod
Na pagod na pagod na pagod na
Pagod, na pagod
Na pagod na pagod na pagod na ako

Woah oh oh oh
Woah oh oh oh
Woah oh oh oh
Woah oh oh oh

Ilang daan pa ba
Ang kailangan kong tatahakin?
Naghihintay lang kung kailan
Pakikinggan ang panalangin
Kasi pagod na ako
Oh pagod na tayo

'Wag mag-alala kung mawawala
'Wag mag-tataka kung lilisan na
Pagod, na pagod
Na pagod na pagod na pagod na
Pagod, na pagod
Na pagod na pagod na pagod na ako

Woah oh oh oh
Woah oh oh oh
Woah oh oh oh
Woah oh oh oh
Woah oh oh oh
Woah oh oh oh
Woah oh oh oh
Woah oh oh oh

Pagod, na pagod
Na pagod na pagod na pagod na
Pagod, na pagod
Na pagod na pagod na pagod na...
"
"""Padayon Lang""",Janine Berdin,"""WTF I actually wrote these songs""","

'Wag mong sabihing na hindi ka nasasaktan
'Wag mong piliting wala kang nararamdaman
Alam kong alam natin na
Kailangan mo ngang lumaban
Pero 'wag mong sabihing hindi ka nasasaktan

Ooh ooh ooh...

Isigaw mo lang at ilabas
Kung damdamin mo'y nagpupumiglas
'Wag mong pigilan
Sige iyak lang
Hayaang tumulo mga luha
Titila ang buhos ng ulan
Hilumin ang pusong sugatan
Padayon lang...

'Wag mo kong sabihan
Na kaya ko naman
'Wag mong pagpilitang
Damdamin ko'y tatagan
Hiling ko sana'y pagbigyan
Ayoko na magpanngap lang
Kaya hayaang sabihing ako ay nasasaktan

Ooh ooh ooh...

Isisigaw ko lang at ilalabas
Ang damdamin kong nagpupumiglas
Hindi pipigilan
Aking iiyak lang
Hayaang tumulo mga luha
Titila ang buhos ng ulan
Hilumin ang pusong sugatan
Padayon lang...

Isigaw mo lang at ilabas
Kung damdamin mo'y nagpupumiglas
'Wag mong pigilan
Sige iyak lang
Hayaang tumulo mga luha
Titila ang buhos ng ulan
Hilumin ang pusong sugatan
Padayon lang...
"
"""SHE WAS ONLY 16""",Janine Berdin,"""WTF I actually wrote these songs""","

All her life oh she thought she knew better
She was smart, she was capable and strong
Oh, she thought that she had it together
Gave her trust, took their word, she was wrong

She was only sixteen
God, the world is so mean
And you knew it too, the both of you
So how could...

You made her feel she didn't have to worry
Wrapped your lies with a big pretty bow
Booze and sly jokes to make her feel ready
Thought she wanted this but what does she know?

She was only sixteen
God, the world is so mean
And you knew that too, the both of you
When she looked into your eyes and asked to stop
Didn't you feel anything?

She was only sixteen
Unknowing human being
And you knew that too, the both of you
So how could you?
She was still just sixteen
Smart and keen
But she was only sixteen
"
"""ALAS DOS NA!!!""",Janine Berdin,No Album,"

Alam kong pinangako ko
Na tayo'y hanggang dulo
Alam ko, naalala ko
Pero 'wag mong isisi lahat sa akin, aminin
Naramdaman mo rin, naramdaman mo rin

Alas dos na ng umaga
Ikaw pa rin, ikaw ang hanap ng puso
O giliw ko, giliw ko
Ba't ba kita iniwan?

Eto na nga ako ngayon
Umiiyak buong maghapon
Hindi ba kaya ang isang pagkakataon?
Ang 'di ko maintindihan
Ba't 'di ko kayang panindigan?
Na ako naman ang bumitaw, yeah
Please, 'wag mong isisi lahat sa akin, aminin
Naramdaman mo rin, naramdaman mo rin

Alas dos na ng umaga
Ikaw pa rin, ikaw ang hanap ng puso
O giliw ko
Alas dos na ng umaga
Ikaw pa rin, ikaw ang hanap ng puso
O giliw ko, giliw ko

Ikaw lang, ikaw pa rin
Kahit sino pa'ng mami-meet
Ikaw at ikaw pa rin
Baby, umuwi ka na please?

Umuwi ka na, umuwi ka na
Alas dos na, umuwi ka na
Bumalik ka na, umuwi ka na
Alas dos na, umuwi ka na
"
"""Bagay Nga Tayo Pero""",Janine Berdin,No Album,"

Di mo ba napapansin?
Tuwing tayo'y magkapiling
Anghel ay umaawit (lala-lala)

Di ka ba nadadala?
Sa mga nagsasabing tayo ay...

Parang mangga at bagoong na
Hanap-hanap tuwing uwian
Tamang tama ang tambalan
Sana, sana tayong dalawa
Ano'ng magagawa kung bagay nga tayo kaso wala...

Bagay nga tayo pero di mo lang ako
Gusto

Parang Popoy at Basha, mga bida sa pelikula
Ako na sana ang mag-aalaga sa'yo pagtanda
Kaso...
Ang labo-labo
Pinapakilig pero di pala tipo
Gago
Tas tuwing lumalayo ko sasabihing miss mo ako
Oh no!
Oh no!
Oh no...

Hindi nga kita trip pa no'ng una
Lakas lang ng tama ng pangaasar nila

Parang mangga at bagoong na
Hanap-hanap tuwing uwian
Tamang tama ang tambalan
Sana, sana tayong dalawa
Ano'ng magagawa kung bagay nga tayo kaso wala...

Bagay nga tayo pero di mo lang ako
Gusto

Hindi nga kita trip pa nung una
Lakas lang ng tama ng pangaasar nila

La la la
La la la
La la la
La la la...

Hindi nga kita trip pa no'ng una
Lakas na ng tama

Hindi nga kita trip pa no'ng una
Ba't lakas na ng tama?
"
"""Bayaning Tunay""",Janine Berdin,"""Songs From Home""","

[Gary V:]
Bawat araw ay may digmaan
Di mo man lang nakikita ang kalaban

[RVA:]
Balot na balot sa panablang saplot
Halos walang pahinga

[ZZP:]
At kagipita'y hindi nila iniinda
[POPS:]
Di man lang makapiling ang pamilya
[Erik:]
Ang maglingkod ang kanilang isinumpa
[Angeline:]
Kahit buhay pa nila ang nakataya

[Sam C:]
Kailangan na sila ay tulungan
[KZ:]
Hindi natin sila dapat kalimutan
[Lea:]
Sino pa ba kundi tayo-tayo rin
Ang kikilos para sa bayan natin

[Martin:]
Saludo, saludo
Sa inyong kabayanihan
[Ogie:]
Salamat, salamat
Sa inyong pagmamalasakit
[Piolo:]
Mahal namin kayo, ng taos puso
[Martin / Ogie / Piolo:]
Bayaning tunay kayo

[Bamboo:]
Saludo, saludo
Sa inyong kabayanihan
[Ely:]
Salamat, salamat
Sa inyong pagmamalasakit
[Rico:]
Mahal namin kayo, ng taos puso
Bayaning Tunay kayo

[Lani:]
Kayrami ng mga nasawi
Sa puso natin sila'y Mananatili
[Morissette:]
Hindi sa ganito matatapos ito
[Janine:]
Magsama-sama na tayo

[Christian B / Kyla:]
Saludo, saludo
Sa inyong kabayanihan
[Jed and Klarisse:]
Salamat, salamat
Sa inyong pagmamalasakit
[Jason Dy / Noel C / Nyoy:]
Mahal namin kayo, ng taos puso
Bayaning tunay kayo

[All (with aria by Lara Maigue):]
Saludo, saludo
Sa inyong kabayanihan
Salamat, salamat
Sa inyong pagmamalasakit
Mahal namin kayo, ng taos puso
Bayaning tunay kayo
Bayaning tunay kayo
"
"""Biyaya""",Janine Berdin,No Album,"

Hating gabi, hating araw
Pag ibig ay ikaw ilalim o ibabaw
Kalahating puno o kahating ubos
Ikaw ang gagawa ng sarili mong unos

Sa isang malamig na sulok
Kaluluwa'y binubulok
Kaliwa't kanan ang pag daing
Sarili ay nilulugmok
Sa isanng daang yardang puti
Mas kita mopa ang tuldok

Sino sino sino sino ang talo?

Ba't di mo pa subukan, wag bilangin ang kulang
Oras ay wag sayanging
Sa walang kapararakan
Iisa lang ang buhay mo
Gamitin moto ng husto

Sino sino sino sinong panalo?

Umaapaw-apaw ang biyaya
Wag mo sanang ipagwalang bahala
Imulat mo ang isip at diwa
Sa isang iglap nandito ka
Walang hindi magagawa

Ang buhay natin ay isang himala
Wag kang malunod sa pag aalala
Wag mong isipin na ika'y walang wala

Meron meron meron merong biyaya!

Kapit patalim o kapit sa panalangin
Ikaw ang pipili kung san ka dadalhin
Mejo hindi o mejo gising
Nakasalalay sa'yo kung panong pagtingin

Ang 'yong kamay iyong paa
Tenga bibig at 'yong mata
Ang puso mo'y tumitibok
Ang baga mo'y humihinga
Walang saysay ang pagmukmok
Isipin mong mapalad ka

Dika dika dika dika kawawa!

Bigat ng yong pasanin, sa Diyos ipaubaya
Ang iyong pag sisikap, lakipan mo ng tiwala
Para dika na mahulog
Lilipas din ang yong tulog

Meron meron meron merong biyaya!

Umaapaw-apaw ang biyaya
Wag mo sanang ipagwalang bahala
Imulat mo ang isip at diwa
Sa isang iglap nandito ka
Walang hindi magagawa

Ang buhay natin ay isang himala
Wag kang malunod sa pag aalala
Wag mong isipin na ika'y walang wala

Meron meron meron merong biyaya!

Oh oh ohh!
Oh oh ohh!

Umaapaw apaw ang biyaya!
Umaapaw apaw ang biyaya!
Umaapaw apaw apaw!
Umaapaw apaw apaw!
Umaapaw apaw apaw!

UMAAPAW!!

Umaapaw-apaw ang biyaya
Wag mo sanang ipagwalang bahala
Imulat mo ang isip at diwa
Sa isang iglap nandito ka
Walang hindi magagawa

Ang buhay natin ay isang himala
Wag kang malunod sa pag aalala
Wag mong isipin na ika'y walang wala

Meron meron meron merong biyaya!!

Wag kanang dumaing
Baka masunog ang sinaing

Wag kanang wag kanang dumaing
Baka masunog ang sinaing

Umaapaw apaw ang biyaya!
"
"""Bulalakaw""",Janine Berdin,No Album,"

Ningsilong na ang adlaw
Mupuli na ang buwan ug silaw
Sa langit nga gusto makab-ot
Mga bituon nagpakita, busa ako maghulat

Pirmi maghulat
Nangandoy nga makita ang imong kaanyag
Bisan sa mubo nga higayon
Oh, bulalakaw sa kagabhi-on
Kalipay ka ning dughan kong masulub-on

Oh, bulalakaw, sa imung paglabay
Ang mabalak-ong kasing-kasing mahupay
Ang kahayag mo, paglaum ko
Lamdag sa kangitngit
Busa, ako maghulat

Pirmi maghulat
Nangandoy nga makita ang imong kaanyag
Bisan sa mubo nga higayon
O bulalakaw sa kagabhi-on
Kalipay ka ning dughan kong masulub-on

Bulalakaw ko, ang paglabay mo gipangandoy ko
Bulalakaw ko, dungga kining pangandoy ko

Pirmi maghulat
Nangandoy nga makita ang imong kaanyag
Bisan sa mubo nga higayon
O bulalakaw sa kagabhi-on
Kalipay ka ning dughan kong masulub-on
Bulalakaw

[Tagalog translation:]

Lumubog na ang araw
Ang buwan ay magsisimula nang umilaw
Sa langit na nais maabot
Lumilitaw ang mga bituin, kaya maghihintay ako

Palaging maghihintay
Hangarin kong makita ang iyong kagandahan
Kahit na sa maikling sandali
Oh, bulalakaw ng gabing ito
Ligaya ka ng puso kong nalulumbay

Oh, bulalakaw, sa iyong pagdaan
Ang balisang puso'y napapanatag
Ang iyong ilaw ay aking pag-asa
Ilaw sa kadiliman
Kaya ako'y maghihintay

Palaging maghihintay
Hangarin kong makita ang iyong kagandahan
Kahit na sa maikling sandali
Oh, bulalakaw ng gabing ito
Ligaya ka ng puso kong nalulumbay

Bulalakaw ko, ang pagdaan mo ay hangarin ko
Bulalakaw ko, dinggin mo itong hangarin ko

Palaging maghihintay
Hangarin kong makita ang iyong kagandahan
Kahit na sa maikling sandali
Oh, bulalakaw ng gabing ito
Ligaya ka ng puso kong nalulumbay
"
"""Dito""",Janine Berdin,No Album,"

Ikaw ang masayang kantang likha ng aking puso
Araw-araw aawitin
Hanggang sa makabisado
Hayaan mo rin sana akong mahimbing sa'yong dibdib
Sulitin natin ang pagkakataon
Hanggang abutin ng dilim

Pag-ibig ko'y parang init ng araw
Sapat na ang ikaw hanggang sa mundo ay magunaw
Kay sarap pumikit habang dinig ang 'yong tinig
Sana'y 'wag nang matapos ito
Dito lang tayo

Sapat na'ng mga plano ni tadhana na para sa'tin
Nanamnamin, aangkinin
Ilatag ang laman ng puso
Bawat munting pagkalito
Lilinawin ko sa'yo
Pagmamahalan ay patitibayin
Magtiwala ka sa'kin

Pag-ibig ko'y parang init ng araw
Sapat na ang ikaw hanggang sa mundo ay magunaw
Kay sarap pumikit habang dinig ang 'yong tinig
Sana'y 'wag nang matapos ito
Dito lang tayo

Ang pagkakaiba, hindi ko makita
Ikaw at ako ang s'yang mahalaga
Anupaman ang ating pagdaanan
Mananatili ang ating pagmamahalan

Pag-ibig ko'y parang init ng araw
Sapat na ang ikaw hanggang sa mundo ay magunaw
Kay sarap pumikit habang dinig ang 'yong tinig
Sana'y 'wag nang matapos ito
Pag-ibig ko'y parang init ng araw
Sapat na ang ikaw hanggang sa mundo ay magunaw
Kay sarap pumikit habang dinig ang 'yong tinig
Sana'y 'wag nang matapos ito
Dito lang tayo
"
"""Leni Laban!""",Janine Berdin,No Album,"

Ano na ba ang tama ngayon?
Sa dami ng pinaglalaban
'Di ko maintindihan
Bakit patuloy ang dahas at
Maraming nasasaktan
Minsan iisipin mo na lamang
May pag-asa pa ba

Laban kung laban para sa bayan
At sa mga naniniwala sa katotohanan
Laban natin to handa ka na bang
Ibigay buong puso't isipan wag kang mawalan
Ng pag asa
Ang puso ialay sa laban
Kapalit ay tagumpay, Laban!
Laban!
Laban!
Laban!

Marami satin ay Bulagbulagan
Hanggang saan hanggan kailan
Kailangan nang lumaban hihintayin pa bang
Pamilya mo nang masasaktan
Wag matakot kapag ikaw ay nasa katwiran
Kakampi mo katotohanan

Laban kung laban para sa bayan
At sa mga naniniwala sa katotohanan
Laban natin to handa ka na bang
Ibigay buong puso't isipan wag kang mawalan
Ng pag asa
Ang puso ialay sa laban
Kapalit ay tagumpay, Laban!
Laban!
Laban!
Laban!

Maraming hinaing ang nais iparating
Iba iba ang dalangin sana'y unawaan natin
Ang pagmamahal sa kapwa
Ang dapat palaganapin
Hindi dahas kundi pagibig
Hindi dahas kundi pagibig

Hindi mo ba naririnig o manhid ka na sa tinig ng 'yong bayan
Wala na bang inaatupag kundi ang sarili mong kapakanan
Wag na wag mong hahayaang diktahan ng namumuno
Sandata ang dugo at diwa ng mga ninuno
Nangako ka, nangarap ka
At buong pusong nanumpa ng katapatan at kadakilaan
Para sa iyong bayan
Kaya ngayon tayo'y la(laban)

Laban kung laban para sa bayan
At sa mga naniniwala sa katotohanan
Laban natin to handa ka na bang
Ibigay buong puso't isipan wag kang mawalan
Ng pag asa
Ang puso ialay sa laban kapalit ay tagumpay
Ang puso ialay sa laban kapalit ay tagumpay
Laban! Leni Laban!
Laban! Leni Laban!
Laban! Leni Laban!
Laban! Leni Laban!
"
